gene_symbol,dataset_count,significant_dataset_count,mean_log2_fold_change,direction_consistency,log2fc_GSE278320_primary,log2fc_GSE287860,log2fc_GSE288000_NTC,padj_GSE278320_primary,padj_GSE287860,padj_GSE288000_NTC
RPS6KB1,3,3.0,0.19462313841179468,0.6666666666666666,-0.7122745665439228,0.5384850957270653,0.7576588860522416,0.002996084093487,1.6315574863728366e-10,6.523850415757856e-07
RPS6KB2,3,3.0,0.1935591151109707,0.6666666666666666,-0.6083917775766209,0.533239681114441,0.6558294417950921,0.0209520776853342,1.5819642449940245e-11,2.7233910638079356e-05
DHX29,3,2.0,0.5436783458358755,1.0,0.9748369892726652,0.15432431840163074,0.5018737298333306,1.563354929906063e-05,0.13810305628272077,0.008553390860147852
DHX30,3,2.0,0.4644328018722272,1.0,0.0536306445737988,0.5185396114266061,0.8211281496162766,0.8449365762144221,1.9182855298873422e-10,2.024233211265099e-07
DHX34,3,2.0,0.5738163727190566,1.0,1.3091297032950695,0.3265535282392487,0.08576588662285169,3.148454162173526e-05,0.0005177687154873119,0.6763580346358132
DHX36,3,2.0,0.3940525532979445,1.0,0.1743752487869281,0.43790718843465437,0.5698752226722509,0.5585215951596416,1.500738159003773e-06,0.00047224903093443985
DHX38,3,2.0,0.35562298410006327,1.0,0.0805547189859051,0.45589087041747395,0.5304233628968107,0.8295816800683581,1.6487303516414891e-09,5.204686173181348e-05
DHX9,3,2.0,0.6616067199272316,1.0,0.0716318623289401,0.747391359042762,1.1657969384099927,0.8267365971860828,3.65538045679862e-29,6.230134596767971e-20
EIF2B2,3,2.0,0.504582853817953,1.0,0.3197481205790236,0.4600389348876145,0.7339615059872208,0.4840716211018952,5.396857174182446e-07,1.0694354238626365e-05
EIF2D,3,2.0,-0.3790358103284113,1.0,-0.097266661704109,-0.40635375773129795,-0.6334870115498271,0.6689978766192021,1.1323720312401038e-05,6.1019801894771674e-05
EIF2S1,3,2.0,0.8969305180653212,1.0,0.1731592839494001,1.0367360017678517,1.480896268478712,0.6481446507346013,1.619818328602376e-28,5.049104891076468e-27
EIF3E,3,2.0,-0.6452469448402129,1.0,-1.2271808517746154,-0.39503785815820147,-0.31352212458782186,1.2294367978196812e-08,8.30204782998934e-10,0.0743036624588606
EIF3H,3,2.0,-0.6222794553810139,1.0,-1.4122132355481232,-0.23944182491422775,-0.2151833056806907,2.1458600025345077e-05,0.0010592409395922483,0.19177596990200482
EIF4BP6,3,2.0,-1.2073420119019167,1.0,-2.286235350738091,-0.36423873590892764,-0.971551949058732,0.0014185975309566,0.0884100455906007,0.007559548146497274
EIF4E3,3,2.0,-0.6000696683856468,1.0,-0.9941325690522308,-0.7148249967407868,-0.09125143936392269,0.0090807944656578,3.413278668360479e-05,0.8594354939552625
RPL12,3,2.0,-0.7358869537251077,1.0,-1.835396406785477,-0.22193233768422374,-0.15033211670562233,0.0001848998329709,0.016060106452602953,0.3005568254544548
RPL13AP5,3,2.0,-0.75948416793782,1.0,-1.4804805898364788,-0.31584565083196003,-0.48212626314502116,0.0224693271162556,0.00634620581177547,0.23345227073010735
RPL14,3,2.0,-0.6834848458938426,1.0,-1.71696336461623,-0.1875313492943803,-0.1459598237709178,5.3571110562464585e-08,0.010165715589962236,0.2952847118694255
RPL19,3,2.0,-0.8232475173726614,1.0,-1.969920552251659,-0.26847416266387275,-0.23134783720245283,1.7967041334507122e-05,0.0010477527435244632,0.091619599103815
RPL23,3,2.0,-0.8609618144955441,1.0,-2.151858986420453,-0.22944411739621612,-0.20158233966996317,6.14523781818659e-06,0.006225243371724274,0.12749499379348744
RPL23A,3,2.0,-0.5688769515348769,1.0,-1.201547400684184,-0.1537697010097653,-0.3513137529106813,0.015735151013717,0.06807168218024216,0.014469004110750283
