gene_symbol,log2FoldChange,lfcSE,padj,context
STARD3NL,-0.7238326387653666,0.2577555349487994,0.0118913428603159,GSE278320 VacV
CD9,-2.013056546432289,0.4396213965365295,2.4012031538538897e-05,GSE278320 VacV
NCAPD2,-0.808776500812325,0.2242882188547765,0.0010197987892271,GSE278320 VacV
IFFO1,0.14523038428008,0.3281065710205243,0.7496624122773896,GSE278320 VacV
GIPR,0.7155974819677434,0.7305512201617125,0.4370515390976498,GSE278320 VacV
PHF7,-1.315841426242538,0.4343583197164782,0.0063806972451066,GSE278320 VacV
SEMA3G,-1.2740779242035143,1.811144854841644,0.5930637176319077,GSE278320 VacV
NISCH,1.8696739743579025,0.3245057298359894,7.30075016974746e-08,GSE278320 VacV
STAB1,-2.1168464968305543,0.5578375955210523,0.0005260329294145,GSE278320 VacV
FUZ,-0.5292858479849814,0.4104363488555853,0.2884795880825754,GSE278320 VacV
SLC6A13,5.225152431261229,1.366138119534156,0.0004720381272395,GSE278320 VacV
IDS,1.2251066613307235,0.336813407946086,0.0009162480208406,GSE278320 VacV
ZNF200,1.3641611162631524,0.3242131789395032,0.000111930124009,GSE278320 VacV
CD4,-0.2512415856595515,1.4960273445847132,0.9104428948714154,GSE278320 VacV
LRRC23,-1.3927845275287385,0.4705957022429531,0.0077960829904179,GSE278320 VacV
SCMH1,-0.2309620885110301,0.1933847305051947,0.3299476672577501,GSE278320 VacV
FYN,-1.027104267218257,0.4686443717768266,0.0550919531181094,GSE278320 VacV
HIVEP2,0.4475432085050004,0.315186521166395,0.2370444668403185,GSE278320 VacV
FMO1,0.5978479704428054,2.130587893589911,0.8455889271765813,GSE278320 VacV
ELOA,-0.1328298645961422,0.258302246883398,0.7059328206068131,GSE278320 VacV
LYPLA2,-0.0822094767198022,0.3226635190747398,0.8603066595593086,GSE278320 VacV
CLCN6,1.2635157454460906,0.2433774739482311,1.4171212511242462e-06,GSE278320 VacV
MRC2,-0.2788365972785132,0.2313332344997466,0.3249412808438707,GSE278320 VacV
TSPAN9,-0.4601828127840718,0.5324857360111767,0.4997282884242981,GSE278320 VacV
BTBD7,0.4812901779820079,0.2891592931871596,0.1575940001099129,GSE278320 VacV
APBA3,-0.2450370063333859,0.3199728586151411,0.5563022671112563,GSE278320 VacV
MKS1,-0.0271298308894948,0.2324291849244766,0.9390262646639024,GSE278320 VacV
ABHD5,0.2181241973973936,0.2637112965908367,0.521347691523673,GSE278320 VacV
ANOS1,3.8553066730608943,1.2417810497085977,0.0050953800680918,GSE278320 VacV
AKAP8L,1.375806610972793,0.2252366892785302,1.054550567875696e-08,GSE278320 VacV
MBTD1,-1.2684326788665583,0.2136979495108837,2.7951297939002384e-08,GSE278320 VacV
