gene,k,pooled_log2FC,p,Q,I2,tau2,pi_lo,pi_hi,direction_concordance,loso_direction_robust,class,meta_FDR
RPL23AP82,2,0.23130258374680826,0.6064101178962042,3.6810437948088124,72.8337923767642,0.30838689325001767,,,0.5,False,III_context_dependent,0.7947779040016275
RPL28P2,3,0.6940319462783537,0.609654324584457,22.73891943305292,91.20450729469215,5.053411222948751,-10.609099113166856,11.997163005723564,0.6666666666666666,False,III_context_dependent,0.7947779040016275
RPL39P16,2,-0.4269655493528828,0.6013019078600745,0.7722535306705933,0.0,0.0,,,0.5,False,III_context_dependent,0.7947779040016275
RPS19BP1,4,0.16556750215575974,0.6094336171644674,37.644433106646545,92.03069417594625,0.3543232620934048,-1.9913521535319816,2.322487157843501,0.5,False,III_context_dependent,0.7947779040016275
RPS29P5,2,0.2972232881938618,0.6091048068020892,1.06078367793022,5.7300728880764735,0.04490879831391695,,,0.5,False,III_context_dependent,0.7947779040016275
RPS4XP2,2,0.6332884122555846,0.6190703075071993,0.2806712994505562,0.0,0.0,,,0.5,False,III_context_dependent,0.8028050779170899
RPS4XP14,2,-0.5326185423098045,0.6230084598792154,1.0864169089511375,7.954304488372446,0.1933102133913962,,,0.5,False,III_context_dependent,0.8057576081104519
RPL7P24,2,0.48657816677325544,0.6253747391633492,0.26970002348344757,0.0,0.0,,,0.5,False,III_context_dependent,0.8066668842931498
RPL21P10,3,0.7131524895842067,0.627127960795546,11.003584315529357,81.82410437681293,5.226351422630407,-10.976768931786637,12.403073910955051,0.6666666666666666,False,III_context_dependent,0.8067826551348536
RPS10P5,2,0.5542495325629399,0.6288193005291207,2.1396671725669165,53.2637592976519,1.403710701254039,,,0.5,False,III_context_dependent,0.8068184147000623
DHX40,4,-0.19253009507249513,0.6418650232265128,65.97575842092854,95.4528753108682,0.6473825352015703,-3.0721532940154823,2.6870931038704917,0.5,False,III_context_dependent,0.8187849081271268
EIF2B5-DT,3,0.6239664332316189,0.6447045413022143,24.43322253541715,91.8144239995322,4.997685026086825,-10.619568143197858,11.867501009661096,0.6666666666666666,False,III_context_dependent,0.8187849081271268
RPS15A,4,0.140500123746279,0.6448986286692009,46.29725361759178,93.52013399157639,0.33888637778998554,-1.9508026686315645,2.2318029161241224,0.75,False,III_context_dependent,0.8187849081271268
RPL13P5,2,-0.5626843945069545,0.6468395859469511,2.6392038860618237,62.10978601231967,2.1271643507476865,,,0.5,False,III_context_dependent,0.8191049587056691
RPL7P6,2,-0.5009191094777611,0.6535267591560443,0.46262553871203177,0.0,0.0,,,0.5,False,III_context_dependent,0.8254179119548998
EIF5AP4,3,0.4411107328065786,0.6552337471321801,11.371073095885812,82.41151047807772,2.3800703109148,-7.4411583850578715,8.323379850671028,0.6666666666666666,False,III_context_dependent,0.8254243308028761
RPSAP9,2,0.2164889615023294,0.6647247566123857,1.3626097927413736,26.61141837325675,0.1538523239989469,,,0.5,False,III_context_dependent,0.8310887006724129
EIF4EBP1,4,-0.21544693111747612,0.669864806694241,66.60114048202041,95.4955726309073,0.8876624199846055,-3.6178962652110345,3.1870024029760824,0.75,False,III_context_dependent,0.8351784864953904
EIF3M,4,0.0922895231320651,0.6784510081631603,24.20107872978744,87.60385835071266,0.15500066145773972,-1.3470639938981068,1.531643040162237,0.75,False,III_context_dependent,0.8405322206269742
RPL22L1,4,0.1592021439017683,0.6810910571265997,66.68720456978645,95.50138588151408,0.5537751699533222,-2.5107092376465245,2.8291135254500612,0.5,False,III_context_dependent,0.8405322206269742
