gene,full_meta_log2FC,full_meta_p,removed_study,loo_meta_log2FC,loo_meta_p,loo_k,direction_preserved,full_meta_FDR,significance_preserved
RPS4X,-0.7452365861082717,0.0056797757906661495,GSE288000,-0.858515315270482,0.155257094728413,3,True,0.05101280108283487,False
RPS4XP1,0.12903387478860226,0.880306490567843,GSE278320,0.1312282256897357,0.9016097780651958,1,True,0.9454466232257922,False
RPS4XP1,0.12903387478860226,0.880306490567843,GSE284044,0.12903387478860226,0.880306490567843,2,True,0.9454466232257922,False
RPS4XP1,0.12903387478860226,0.880306490567843,GSE287860,0.1249280312663854,0.9314344438801822,1,True,0.9454466232257922,False
RPS4XP1,0.12903387478860226,0.880306490567843,GSE288000,0.12903387478860226,0.880306490567843,2,True,0.9454466232257922,False
RPS4XP11,-0.3135952556693935,0.5761577868677907,GSE278320,-0.2390562978288414,0.6940255325972761,1,True,0.7849931986149186,False
RPS4XP11,-0.3135952556693935,0.5761577868677907,GSE284044,-0.3135952556693935,0.5761577868677907,2,True,0.7849931986149186,False
RPS4XP11,-0.3135952556693935,0.5761577868677907,GSE287860,-0.7435725035375812,0.6104182132411071,1,True,0.7849931986149186,False
RPS4XP11,-0.3135952556693935,0.5761577868677907,GSE288000,-0.3135952556693935,0.5761577868677907,2,True,0.7849931986149186,False
RPS4XP14,-0.5326185423098045,0.6230084598792154,GSE278320,-1.8380416699663489,0.26195639034459406,1,True,0.8057576081104519,False
RPS4XP14,-0.5326185423098045,0.6230084598792154,GSE284044,-0.5326185423098045,0.6230084598792154,2,True,0.8057576081104519,False
RPS4XP14,-0.5326185423098045,0.6230084598792154,GSE287860,0.3666166524735339,0.7840202986330078,1,False,0.8057576081104519,False
RPS4XP14,-0.5326185423098045,0.6230084598792154,GSE288000,-0.5326185423098045,0.6230084598792154,2,True,0.8057576081104519,False
RPS4XP16,-1.1303069195547533,0.004432134842668204,GSE278320,-1.1778484957761897,0.004107879514659809,1,True,0.04492877739162352,True
RPS4XP16,-1.1303069195547533,0.004432134842668204,GSE284044,-1.1303069195547533,0.004432134842668204,2,True,0.04492877739162352,True
RPS4XP16,-1.1303069195547533,0.004432134842668204,GSE287860,-0.4282891879250743,0.7859653210652455,1,True,0.04492877739162352,False
RPS4XP16,-1.1303069195547533,0.004432134842668204,GSE288000,-1.1303069195547533,0.004432134842668204,2,True,0.04492877739162352,True
RPS4XP2,0.6332884122555846,0.6190703075071993,GSE278320,1.099772834977919,0.4775690185899628,1,True,0.8028050779170899,False
RPS4XP2,0.6332884122555846,0.6190703075071993,GSE284044,0.6332884122555846,0.6190703075071993,2,True,0.8028050779170899,False
RPS4XP2,0.6332884122555846,0.6190703075071993,GSE287860,-0.3429523081291472,0.8783229512841566,1,False,0.8028050779170899,False
RPS4XP2,0.6332884122555846,0.6190703075071993,GSE288000,0.6332884122555846,0.6190703075071993,2,True,0.8028050779170899,False
RPS4XP3,-0.7344593109544651,0.4768264708246749,GSE278320,0.04747383611081431,0.9043302740949134,1,False,0.7115718103075918,False
RPS4XP3,-0.7344593109544651,0.4768264708246749,GSE284044,-0.7344593109544651,0.4768264708246749,2,True,0.7115718103075918,False
RPS4XP3,-0.7344593109544651,0.4768264708246749,GSE287860,-2.0975305973369673,0.07654030631497949,1,True,0.7115718103075918,False
RPS4XP3,-0.7344593109544651,0.4768264708246749,GSE288000,-0.7344593109544651,0.4768264708246749,2,True,0.7115718103075918,False
RPS4XP6,-0.5016609458832753,0.32380659613000273,GSE278320,-0.2586965400307749,0.651020800896797,1,True,0.6039934714990481,False
RPS4XP6,-0.5016609458832753,0.32380659613000273,GSE284044,-0.5016609458832753,0.32380659613000273,2,True,0.6039934714990481,False
RPS4XP6,-0.5016609458832753,0.32380659613000273,GSE287860,-1.417788496282331,0.2017137173577317,1,True,0.6039934714990481,False
RPS4XP6,-0.5016609458832753,0.32380659613000273,GSE288000,-0.5016609458832753,0.32380659613000273,2,True,0.6039934714990481,False
RPS5,-0.5719264112383978,0.06136654645504829,GSE278320,-0.05912440023772984,0.37983536597064005,3,True,0.2172465330707914,False
RPS5,-0.5719264112383978,0.06136654645504829,GSE284044,-0.6523350199411109,0.0742423336343842,3,True,0.2172465330707914,False
