gene_symbol,k_studies,pooled_log2FoldChange,pooled_SE,tau2,Q,I2,z,p,n_up,n_down,direction_concordance,log2fc_GSE278320,padj_GSE278320,log2fc_GSE284044,padj_GSE284044,log2fc_GSE287860,padj_GSE287860,log2fc_GSE288000,padj_GSE288000,meta_FDR,is_translation_factor
RPL13P12,3,-0.46250939519489964,0.18608644527614715,0.06191007100581506,6.466144418399205,69.06966701348234,-2.4854545128665793,0.012938612128974538,0,3,1.0,-1.3095519360093835,0.0440417074391054,,,-0.234746314667338,0.0144417074585059,-0.5564481981597875,0.00070115668895,0.06396359262053024,True
EIF4G1,4,0.7339553947892384,0.2969455767964775,0.29326555603975085,36.86873041483586,91.86302330933313,2.4716832044017334,0.013447862664022567,3,1,0.75,-0.3601593595278601,0.4209480356278479,0.158555599876723,0.999899862550801,1.1265387236874305,8.256992578980947e-40,1.5555336052646838,5.602523680441123e-36,0.06583051809885958,True
RPL13AP25,3,-0.3301588439830732,0.1335974109358213,0.0,1.7080857435235082,0.0,-2.4712967240186847,0.013462406372148976,0,3,1.0,-1.176939113340219,0.1512223073712195,,,-0.3207174296130536,0.0592124691911306,-0.1538008128862379,0.7601757962527204,0.0658577688029844,True
RPL37A,4,-0.24260834007747986,0.09817718057116644,0.013412823240693468,4.706662317219323,36.26056432762341,-2.471127594681928,0.013468775277520797,0,4,1.0,-1.1851787623344978,0.0229753477799149,-0.286313829705918,0.999899862550801,-0.1975735190202499,0.0724036989503513,-0.1678049203573691,0.2209226289743657,0.06587428335176782,True
RPS2,4,-0.3953422638598963,0.16060147894315233,0.06582123528414456,11.031579001403324,72.80534364465531,-2.461635263021672,0.01383052355807359,0,4,1.0,-1.9285841757717943,0.0004064203997536,-0.275947245839019,0.894299995836389,-0.2648406491966529,0.0032469350659747,-0.2345239451649223,0.1893650958400786,0.06725496972815767,True
RPS3A,3,-0.4704559536099072,0.19361790611431995,0.07390392559071877,8.795521671739092,77.26115545339165,-2.429816348350192,0.01510647525724633,0,3,1.0,-1.3496427999389784,0.0136579262040246,,,-0.2076935152657931,0.0114035763829113,-0.5172728590904732,0.0004320620244176,0.0719736623184809,True
RPL7,4,-0.5086776880943996,0.21006517293101915,0.13360198464988346,23.12725567808495,87.02829232418287,-2.421523192049728,0.015455614785743468,0,4,1.0,-2.3336055056538227,5.863667828794949e-07,-0.121405952827254,0.999899862550801,-0.2441394824849307,0.0011179292269759,-0.2727933292226279,0.0393307063271944,0.07327932482107453,True
RPL13,4,-0.4550409989475471,0.18808806778557655,0.0873198546017168,12.330187696817628,75.66947013487648,-2.4192975360154225,0.015550514764615036,0,4,1.0,-1.6179962634549554,0.0017801466233027,-0.181125973674913,0.999899862550801,-0.18795692010822912,0.0310757163876535,-0.49585884583299,0.0005199867479312,0.07359414374468053,True
EIF4G2,4,0.7066117934363378,0.29303211374356153,0.30346692399102093,51.879105216526085,94.21732509171275,2.4113800511800165,0.015892278406381577,3,1,0.75,-0.1727839475244643,0.5227570178487269,0.301341258510078,0.999899862550801,1.0448021897173865,2.428644577701585e-52,1.4627704785280753,2.403438131871688e-36,0.07474856065843469,True
RPL29,4,-0.2944882054626176,0.12279465541208284,0.03317563353468199,8.262440290904886,63.691114315194085,-2.3982167992112817,0.016475110843542504,0,4,1.0,-1.5263625766796216,0.0065126535130157,-0.240192618543663,0.999899862550801,-0.1502321707370772,0.0697500059528653,-0.3096419412824315,0.0177285901703468,0.07682218528718791,True
EIF3E,4,-0.45825750688582023,0.19155764568937203,0.12357039849823875,23.28919495195045,87.11848989976035,-2.3922694666488336,0.016744543610286978,1,3,0.75,-1.2271808517746154,1.2294367978196812e-08,0.0344611197312511,0.999899862550801,-0.3950378581582014,8.30204782998934e-10,-0.3135221245878218,0.0743036624588606,0.0777819038241465,True
