gene_symbol,direction,k_studies,pooled_log2FoldChange,I2,meta_FDR,is_translation_factor,evidence_rank
GNG7,down,4,-1.4829757397089876,64.47364406303025,3.617393433053908e-07,False,163
SULF1,up,4,2.514091893542469,0.0,0.0001314612135261,False,164
ACSS1,down,3,-1.7619472698064085,92.12197356838412,8.746694220537797e-06,False,165
SLC20A1,up,4,1.281319580789014,83.07635699637439,4.825900369253927e-09,False,166
CDC20,down,4,-1.1043877987510191,0.0,1.7801853612564975e-14,False,167
FOXD4,up,3,2.1062180566213886,0.0,6.890605850914894e-05,False,168
MYC,up,4,1.5743683694588833,92.15874642289609,1.2078243438852746e-06,False,169
RRP15,up,4,1.045036085609827,16.37687061895658,8.942744354453284e-19,False,170
DNER,up,4,1.01249095705068,0.0,3.4267440025198155e-25,False,171
NDRG1,down,4,-0.999409112190061,0.0,3.691084049640655e-36,False,172
TTYH2,down,4,-1.8380029978358112,88.8390107686148,2.0786792658615652e-05,False,173
TNFAIP3,up,4,2.5668298913275436,97.0576294713408,0.0001592547635078,False,174
IRAK2,up,4,1.4919138288779177,81.13468419655484,6.895465021163391e-07,False,174
TRIM50,down,3,-2.8204614019927594,0.0,0.0001913844290595,False,176
AFTPH-DT,up,3,3.005423617169209,92.22321472499196,0.0002189640070127,False,177
PHLPP2,up,4,1.1478252846036263,52.98974204719045,2.3436873605603664e-11,False,178
EDN1,up,3,4.7476111833482815,92.93178158054776,0.000378353677996,False,179
PLVAP,up,3,2.8302988298106633,90.5591451745563,0.0002359988849037,False,180
C12ORF4,up,3,1.1831715446290778,66.90067239147022,3.4351612011856047e-10,False,181
EFHC2,down,3,-2.056714199160179,34.16803782515696,9.734861824886527e-05,False,182
DGKI,up,4,3.0493725597070527,83.60462994599003,0.0003006414042788,False,183
TSC22D3,down,4,-2.1788307908201374,95.9486386148308,0.000132903965464,False,184
BAHCC1,down,4,-1.3211379874495532,76.35937814475892,1.422951512549429e-07,False,185
ARHGAP11A,down,3,-0.9982320282846652,0.0,1.1539462425378912e-21,False,185
LIMS2,down,3,-1.7213749179660742,42.67265922578891,2.046756766549468e-05,False,187
MAB21L1,up,3,4.194734780444875,67.97046226815809,0.0004207509859108,False,188
EMILIN1,up,4,0.962608054032211,0.0,2.2887221114891473e-43,False,189
FOXM1,down,4,-0.9946518285663228,0.0,9.743593594299911e-21,False,190
KIF11,down,4,-1.030341916819847,40.7570345462465,3.6211229692729104e-16,False,191
SERINC5,down,4,-1.179360541166946,64.43954731039462,1.2710361635314212e-09,False,191
CLEC11A,down,4,-1.534223720747031,73.77830882118828,4.363936572754966e-06,False,193
GRIA4,up,4,4.333803387516171,56.678698052079426,0.0005253244799097,False,194
RELB,up,4,1.7584018159139718,90.32429862294325,4.746669698558287e-05,False,195
SRFBP1,up,4,0.9777016541248544,0.0,1.2837099354120926e-22,False,196
CCDC69,down,4,-1.1836910304948205,68.67487438397524,3.279508872148324e-09,False,197
FAS,up,3,1.338704074995336,79.59287925351236,3.705291665651027e-07,False,197
ST20-AS1,up,3,1.1302213797417693,0.0,1.2580935922388742e-10,False,199
HMMR,down,3,-1.2343620570993086,45.588100591266354,2.8720479938868897e-08,False,200
