gene_symbol,NTC,N4BP1,ZC3H12A,TRIM25,ZC3H12A_N4BP1,mean_log2FoldChange,direction_consistency
RPS12,-0.208863602743731,-0.032461065460540325,-0.03906540319656214,0.06422223783812307,0.004540111776343335,-0.04232554435727341,0.6
RPL41P1,-0.3512530335710455,0.11484055230901578,-0.016737289974477067,-0.0566228659662438,0.07666866370674717,-0.04662079469920066,0.6
RPL23,-0.20158233966996317,0.011170127828013843,-0.14199755555815527,0.037559144490189815,0.05619147220382695,-0.04773183014121756,0.6
RPL4P4,0.01715001945928731,-0.1365350827676409,-0.046058764988424525,0.03084155329458513,-0.10503755804071796,-0.04792796660858219,0.6
RPS5,-0.08131309626762007,0.006876849548342981,-0.0954147456981794,0.0474226200621847,-0.12221645899972357,-0.048928966270999075,0.6
EIF4EBP2,0.003520551637951824,-0.04528176137930053,-0.08071019572228058,-0.1431411790117499,0.02063843502166172,-0.04899482989074349,0.6
RPL3,-0.16991474202112664,0.0056275348240471075,-0.10470100529532814,0.007709145700110951,0.015972199349298354,-0.04906137348859967,0.6
RPL41P2,-1.0914453470587437,-0.6613312671191189,0.11183036113737248,-0.0281977461152703,1.4212945859926143,-0.04956988263262922,0.6
RPL37A,-0.16780492035736913,0.0027884155782875106,-0.08818381464954708,0.0459602062912312,-0.052715491983280634,-0.051991121024135625,0.6
RPL39,-0.2011663687513606,0.048416286664140655,-0.21728335319136308,0.06819573561589558,0.040786284620413255,-0.05221028300845483,0.6
EIF4A2,-0.0333273988266813,-0.182109060086959,-0.02807559979826341,-0.139277509482565,0.12092378395350686,-0.05237315684819237,0.8
RPL7P24,-0.05338489043397519,,,,,-0.05338489043397519,1.0
RPS2,-0.2345239451649223,-0.036568110836515046,-0.015545073726172668,-0.010106634850067612,0.028664009384063778,-0.05361595103872278,0.8
RPS15AP1,0.01938104836861359,-0.864696740135139,-0.369702211633555,0.10879931872612446,0.8346486998994476,-0.0543139769549017,0.6
RPL27A,-0.2334033167856543,0.04312505950672384,-0.1940910573358544,0.07501048035781313,0.03693176376097537,-0.05448541409919927,0.6
RPS15,-0.19412724246127222,0.056931423287213706,-0.07501978811022177,0.10555571603714888,-0.16653041462067458,-0.0546380611735612,0.6
RPL21P28,-0.3323510543119269,0.301348423357573,0.17855330070377126,0.25458876006459225,-0.6826235757029925,-0.05609682917779657,0.6
RPL41P5,-0.6649577289751338,0.435271841190039,-0.14942069775904065,0.05687654811009477,0.03833785697868727,-0.056778436091070694,0.6
RPS24,-0.12969078384523014,-0.047256409739669436,-0.1535286616865148,-0.0007747364271478379,0.047197099092587826,-0.05681069852119487,0.8
RPL9,-0.18451007561520205,-0.0463921738970662,-0.16009793279064843,-0.01585300865364519,0.11666261897271649,-0.05803811439676907,0.8
RPS18,-0.2499385227935137,-0.028469835960039575,-0.10932178405507985,0.05319197368135545,0.02341219389199566,-0.06222519504705641,0.6
RPL14,-0.1459598237709178,-0.05933788223394353,-0.11727424723187682,-0.07548359332144901,0.07946959250477771,-0.06371719081068189,0.8
RPS6P25,0.5734262461046634,-0.08443918864286426,0.569204601005875,-0.7301563539358872,-0.6533180210958993,-0.06505654331282248,0.6
EIF4EBP3,0.0605636818142261,-0.7023301976864215,-0.14090672800796114,0.017465179201667708,0.4387669389917267,-0.06528822513735241,0.6
RPL26,-0.18005627650468076,-0.04736964900523364,-0.19543687743832147,-0.10460250730432318,0.19130625821219768,-0.06723181040807227,0.8
RPS8P10,0.9682555835163192,,,-1.1035800233001074,,-0.06766221989189408,0.5
RPS24P8,-0.16255210330896325,0.1829790353860962,0.09322337686530242,-0.5239074948448109,0.06817244347861669,-0.06841694848475177,0.6
